,name,rating,interlinking,highly_rated,critical_rated,number_of_reviews,number_of_jobs
36,IDFC FIRST Bank,4,Banking | 10k-50k Employees | Public | 6 years old | Mumbai +583 more,"Salary & Benefits, Skill Development / Learning, Job Security",,8.4k,62
37,Conneqt Business Solutions,3.7,BPO | 10k-50k Employees | 22 years old | Mumbai +225 more,,"Promotions / Appraisal, Salary & Benefits",8k,452
38,LTIMindtree,3.7,IT Services & Consulting | 50k-1 Lakh Employees | Public | 25 years old | Bangalore/Bengaluru +53 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",7.9k,29
39,HDFC Life,4.1,Insurance | 10k-50k Employees | Public | 24 years old | Mumbai +561 more,"Skill Development / Learning, Job Security, Company Culture",,7.8k,171
40,Bajaj Finserv,4.1,Financial Services | 50k-1 Lakh Employees | Public | 17 years old | Pune +889 more,"Salary & Benefits, Skill Development / Learning, Job Security",,7.7k,34
41,Mphasis,3.5,IT Services & Consulting | 10k-50k Employees | Public | 26 years old | Bangalore/Bengaluru +53 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",7.2k,154
42,PwC,3.6,Management Consulting | 10k-50k Employees | Conglomerate | 144 years old | London +93 more,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",7.1k,1.1k
43,HSBC Group,4.1,Banking | 10k-50k Employees | Forbes Global 2000 | 159 years old | Pune +60 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,6.9k,21
44,Startek,3.3,BPO | 10k-50k Employees | Public | 7 years old | Mumbai +72 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.9k,63
45,Hinduja Global Solutions,4,IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Bangalore/Bengaluru +104 more,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",6.8k,51
46,Samsung,4.1,Consumer Electronics & Appliances | 50k-1 Lakh Employees | Public | 55 years old | Seoul +502 more,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,6.8k,21
47,Ericsson,4.3,Telecom | 10k-50k Employees | Forbes Global 2000 | 148 years old | Stockholm +151 more,"Company Culture, Work Life Balance, Job Security",,6.7k,351
48,Maruti Suzuki,4.3,Automobile | 10k-50k Employees | Public | 43 years old | New Delhi +379 more,"Job Security, Salary & Benefits, Skill Development / Learning",,6.7k,1
49,Shriram Finance,4.1,NBFC | 50k-1 Lakh Employees | Public | 45 years old | Mumbai +961 more,"Job Security, Skill Development / Learning, Work Life Balance",,6.5k,47
50,Asian Paints,4.1,Chemicals | 5k-10k Employees | Public | 82 years old | Mumbai +437 more,"Salary & Benefits, Skill Development / Learning, Job Security",,6.5k,19
51,Yes Bank,3.9,Banking | 10k-50k Employees | Public | 20 years old | Mumbai +445 more,"Salary & Benefits, Work Life Balance",,6.5k,4
52,Cipla,4.1,Pharma | 10k-50k Employees | Public | 89 years old | Mumbai +235 more,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,6.2k,38
53,Dr. Reddy's,4.2,Pharma | 10k-50k Employees | Public | 40 years old | Hyderabad/Secunderabad +165 more,"Skill Development / Learning, Company Culture, Work Life Balance",,6.1k,152
54,Sutherland Global Services,3.7,IT Services & Consulting | 10k-50k Employees | 38 years old | Pittsford +56 more,,"Promotions / Appraisal, Salary & Benefits",6.1k,274
55,Paytm,3.5,FinTech | 10k-50k Employees | Public | 14 years old | Noida +322 more,,"Job Security, Promotions / Appraisal, Company Culture",6.1k,91
56,Bandhan Bank,3.8,Banking | 50k-1 Lakh Employees | Public | 23 years old | Kolkata +770 more,Job Security,"Promotions / Appraisal, Work Satisfaction",6.1k,9
57,UltraTech Cement,4.2,Building Material | 10k-50k Employees | Public | 41 years old | Mumbai +438 more,"Job Security, Skill Development / Learning, Company Culture",,6k,6
58,EXL Service,3.8,Analytics & KPO | 10k-50k Employees | 25 years old | New York City +45 more,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",6k,80
59,NTT DATA,4,IT Services & Consulting | 10k-50k Employees | 36 years old | Chiyoda City +60 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,5.9k,126
60,ICICI Prudential Life Insurance,4.1,Insurance | 10k-50k Employees | Public | 24 years old | Mumbai +451 more,"Job Security, Skill Development / Learning, Salary & Benefits",,5.7k,111
61,Bajaj Finance,4.1,NBFC | 10k-50k Employees | 37 years old | Pune +772 more,"Salary & Benefits, Skill Development / Learning, Job Security",,5.7k,17
62,Jana Small Finance Bank,3.9,Banking | 10k-50k Employees | Public | 18 years old | Bangalore/Bengaluru +352 more,,,5.6k,76
63,Lupin,4.1,Pharma | 1k-5k Employees | Public | 56 years old | Mumbai +167 more,"Skill Development / Learning, Company Culture, Work Life Balance",,5.5k,33
64,Indian Army,4.7,Defence & Aerospace | 1 Lakh+ Employees | Public | 129 years old | New Delhi +334 more,"Job Security, Company Culture, Work Satisfaction",,5.4k,--
65,HCL Group,3.8,IT Services & Consulting | 1 Lakh+ Employees | 48 years old | Chennai +75 more,Job Security,"Promotions / Appraisal, Salary & Benefits",5.4k,--
66,Quess,4,BPO | 1k-5k Employees | Public | 17 years old | Bangalore +522 more,Work Life Balance,Promotions / Appraisal,5.4k,122
67,Tata Steel,4.2,Iron & Steel | 1 Lakh+ Employees | Public | 117 years old | Mumbai +169 more,"Job Security, Skill Development / Learning, Work Life Balance",,5.4k,68
68,L&T Infotech,3.8,IT Services & Consulting | 10k-50k Employees | Public | 28 years old | Mumbai +85 more,Job Security,"Promotions / Appraisal, Salary & Benefits",5.3k,2
69,Wells Fargo,4.1,Financial Services | 10k-50k Employees | Public | 172 years old | San Francisco +20 more,"Job Security, Work Life Balance, Company Culture",,5.3k,65
70,Zydus Lifesciences,4.1,Pharma | 10k-50k Employees | Public | 72 years old | Ahmedabad +152 more,"Skill Development / Learning, Job Security, Salary & Benefits",,5.3k,139
71,Delhivery,4,Logistics | 10k-50k Employees | Fortune India 500 | 13 years old | Delhi +628 more,Skill Development / Learning,Promotions / Appraisal,5.2k,109
72,Amazon Development Centre India,4.2,Internet | 10k-50k Employees | Hyderabad / Secunderabad +82 more,"Company Culture, Work Life Balance, Salary & Benefits",,5.2k,6
73,L&T Construction,4.1,Engineering & Construction | 5k-10k Employees | Public | 80 years old | Chennai +360 more,"Job Security, Skill Development / Learning, Salary & Benefits",,5.1k,--
74,JPMorgan Chase & Co.,4.1,Financial Services | 50k-1 Lakh Employees | Public | 56 years old | New York +33 more,"Job Security, Company Culture, Skill Development / Learning",,5.1k,198
75,Sun Pharmaceutical Industries,4.2,Pharma | 10k-50k Employees | Public | 41 years old | Mumbai +209 more,"Job Security, Salary & Benefits, Skill Development / Learning",,5k,112
76,Hindustan Unilever,4.3,FMCG | 10k-50k Employees | Public | 152 years old | London +433 more,"Skill Development / Learning, Job Security, Company Culture",,5k,146
77,FIS,3.9,FinTech | 10k-50k Employees | 56 years old | Jacksonville +45 more,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,5k,42
78,ITC,4,FMCG | 10k-50k Employees | Public | 114 years old | Kolkata +299 more,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.9k,50
79,Udaan,4,1k-5k Employees | Indian Unicorn | 8 years old | Bangalore +339 more,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal",4.8k,26
80,Hexaware Technologies,3.7,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 34 years old | Mumbai +46 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.9k,233
81,IIFL Finance,4,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +669 more,"Salary & Benefits, Skill Development / Learning, Work Life Balance",,4.8k,45
82,JSW Steel,4,Iron & Steel | 10k-50k Employees | Public | 42 years old | Mumbai +144 more,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.8k,31
