,name,rating,interlinking,highly_rated,critical_rated,number_of_reviews,number_of_jobs
769,CreditAccess Grameen,4.3,NBFC | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +254 more,"Job Security, Company Culture, Skill Development / Learning",,924,5
770,TELUS International Philippines,3.8,IT Services & Consulting | 1k-5k Employees | Startup | 19 years old | Pasig City +15 more,Work Life Balance,Promotions / Appraisal,929,66
771,Infogain,3.7,IT Services & Consulting | 1k-5k Employees | 34 years old | Los Gatos +17 more,,"Promotions / Appraisal, Salary & Benefits",922,142
772,GAIL,4.5,Oil & Gas | 1k-5k Employees | Fortune India 500 | 40 years old | Delhi/NCR +91 more,"Work Life Balance, Company Culture, Skill Development / Learning",,918,--
773,Patanjali Foods,4,FMCG | 5k-10k Employees | Public | 38 years old | Mumbai +148 more,Work Life Balance,Promotions / Appraisal,909,1
774,Medhaj Techno Concept,4.3,Other | 1k-5k Employees | 17 years old | Lucknow +140 more,"Company Culture, Skill Development / Learning, Work Life Balance",,917,--
775,Tenneco,3.8,Auto Components | 1k-5k Employees | Forbes Global 2000 | 84 years old | Lake Forest +35 more,,"Promotions / Appraisal, Salary & Benefits, Job Security",916,--
776,IndiaFirst Life Insurance,4.2,Insurance | 1k-5k Employees | 15 years old | Mumbai +181 more,"Salary & Benefits, Company Culture, Work Life Balance",,923,2
777,Jio Platforms,3.7,IT Services & Consulting | 5k-10k Employees | Navi Mumbai +68 more,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",923,2
778,Infinx,3.6,Software Product | 1k-5k Employees | 12 years old | Mumbai +28 more,,"Promotions / Appraisal, Salary & Benefits",918,16
779,Videocon d2h,3.9,Internet | 501-1k Employees | Public | 15 years old | Mumbai +129 more,"Skill Development / Learning, Company Culture","Job Security, Promotions / Appraisal, Salary & Benefits",902,--
780,Kantar,3.7,Analytics & KPO | 5k-10k Employees | 16 years old | London +34 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",914,--
781,Johnson Lifts,4.1,Industrial Machinery | 5k-10k Employees | 43 years old | Chennai +67 more,"Job Security, Work Life Balance, Skill Development / Learning",,909,3
782,Continental Automotive Components,4.3,Auto Components | 5k-10k Employees | 153 years old | Lower Saxony +19 more,"Job Security, Company Culture, Work Life Balance",,913,11
783,CSB Bank,3.4,Banking | 1k-5k Employees | 104 years old | Thrissur/Trichur +154 more,,"Promotions / Appraisal, Company Culture, Work Satisfaction",922,7
784,Eaton Corporation,4,Power | 5k-10k Employees | Public | 113 years old | Cleveland +18 more,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,911,76
785,AIIMS,4.2,Healthcare | 10k-50k Employees | 68 years old | Delhi/NCR +53 more,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal,907,--
786,Consolidated Contractors,4.5,Engineering & Construction | 1k-5k Employees | Public | 72 years old | Marousi +51 more,"Work Satisfaction, Company Culture, Work Life Balance",,893,--
787,Wind World,4,Power | 5k-10k Employees | 30 years old | Mumbai +62 more,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",904,5
788,Bajaj Motors,4,Auto Components | 501-1k Employees | 38 years old | Gurgaon +66 more,Skill Development / Learning,Promotions / Appraisal,894,--
789,PharmEasy,3.7,Internet | 1k-5k Employees | Indian Unicorn | 9 years old | Mumbai +56 more,,"Job Security, Promotions / Appraisal",903,23
790,Piaggio,3.8,Automobile | 1k-5k Employees | 140 years old | Pontedera +70 more,,"Promotions / Appraisal, Job Security, Salary & Benefits",900,15
791,Godrej Properties,3.8,Real Estate | 1k-5k Employees | Public | 34 years old | Mumbai +27 more,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",908,25
792,Mahindra CIE Automotive,3.9,Auto Components | 1k-5k Employees | Public | 25 years old | Mumbai +36 more,,"Promotions / Appraisal, Job Security, Company Culture",900,77
793,Bharat Sanchar Nigam,4,Telecom | 50k-1 Lakh Employees | Central | 24 years old | Delhi/NCR +213 more,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",888,--
794,PNB Housing Finance,3.9,Financial Services | 1k-5k Employees | Public | 36 years old | Delhi/NCR +114 more,,Promotions / Appraisal,898,2
795,TE Connectivity,4.1,Electronics Manufacturing | 1k-5k Employees | Forbes Global 2000 | 83 years old | Schaffhausen +14 more,"Company Culture, Work Life Balance, Job Security",,897,37
796,Intertek,3.8,Other | 1k-5k Employees | 27 years old | London +82 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",895,19
797,Jaquar,4.1,Building Material | 10k-50k Employees | 64 years old | Gurgaon +84 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,897,1
798,Zf Rane Automotive,4.1,Auto Components | 1k-5k Employees | Chennai +45 more,"Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,892,--
799,JW Marriott,4.1,Hospitality | 1k-5k Employees | 97 years old | Bethesda +40 more,"Job Security, Skill Development / Learning, Company Culture",,888,--
800,TUV SUD,4,Other | 1k-5k Employees | 158 years old | Munich +95 more,,Promotions / Appraisal,892,10
801,Automotive Manufacturers,4.2,Automobile | 10k-50k Employees | 76 years old | Mumbai +120 more,"Job Security, Skill Development / Learning, Work Life Balance",,891,6
802,Godrej Consumer Products,4.3,FMCG | 1k-5k Employees | Public | 23 years old | Mumbai +109 more,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,890,--
803,Gannon Dunkerley & Co.,3.9,Engineering & Construction | 1k-5k Employees | 100 years old | Mumbai +66 more,,"Salary & Benefits, Promotions / Appraisal",873,--
804,IIFL SAMASTA,4.1,NBFC | 10k-50k Employees | Bangalore / Bengaluru +267 more,"Skill Development / Learning, Job Security",,896,8
805,Mondelez International,4.4,Food Processing | 1k-5k Employees | Forbes Global 2000 | 12 years old | Greater Chicago Area +137 more,"Salary & Benefits, Company Culture, Job Security",,895,38
806,Capri Global Capital,3.7,NBFC | 1k-5k Employees | Public | 27 years old | Mumbai +216 more,,"Promotions / Appraisal, Job Security, Work Satisfaction",892,76
807,Worley,4.1,Engineering & Construction | 5k-10k Employees | 53 years old | North Sydney +42 more,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,885,71
808,JSW Cement,4.1,Building Material | 1k-5k Employees | Conglomerate | 15 years old | Mumbai +109 more,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,883,--
809,Sahara India Pariwar,3.8,Broadcasting | 5k-10k Employees | Conglomerate | 46 years old | Lucknow +223 more,,"Promotions / Appraisal, Salary & Benefits",879,1
810,Apexon,3.4,IT Services & Consulting | 1k-5k Employees | 28 years old | Santa Clara +15 more,,"Promotions / Appraisal, Job Security, Salary & Benefits",889,66
811,Adobe,4.2,Software Product | 5k-10k Employees | Public | 27 years old | San Jose +14 more,"Company Culture, Work Life Balance, Job Security",,889,7
812,Slk Software Services,3.6,IT Services & Consulting | 1k-5k Employees | 24 years old | Bangalore/Bengaluru +10 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",883,79
813,Spencer's Retail,3.9,Retail | 1k-5k Employees | Public | 161 years old | Kolkata +56 more,Job Security,Promotions / Appraisal,879,10
814,Karma Ayurveda,4.5,Healthcare | 51-200 Employees | New Delhi +4 more,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",,878,--
815,Punj Lloyd,4.3,Engineering & Construction | 5k-10k Employees | Public | 42 years old | Gurgaon/Gurugram +70 more,"Work Life Balance, Company Culture, Work Satisfaction",,868,--
816,Dhoot Transmission,3.7,Power | 201-500 Employees | 26 years old | Mumbai +29 more,,"Promotions / Appraisal, Salary & Benefits, Job Security",872,--
817,Sonata Software,3.7,IT Services & Consulting | 1k-5k Employees | Public | 38 years old | Bangalore/Bengaluru +12 more,,"Promotions / Appraisal, Salary & Benefits",879,113
818,Petrofac,4.4,Engineering & Construction | 1k-5k Employees | 43 years old | Jermyn Street +38 more,"Salary & Benefits, Company Culture, Work Satisfaction",,865,23
819,Morningstar,3.9,Financial Services | 1k-5k Employees | 40 years old | Chicago +16 more,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",877,88
820,Siemens Gamesa Renewable Energy,4.1,Power | 1k-5k Employees | 48 years old | Chennai +57 more,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,873,64
821,R Systems International,3.4,IT Services & Consulting | 1k-5k Employees | Public | 31 years old | El Dorado Hills +15 more,,"Job Security, Promotions / Appraisal, Skill Development / Learning",878,17
822,Hinduja Leyland Finance,4.1,NBFC | 1k-5k Employees | 18 years old | Chennai +229 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,872,4
823,GAO Tek,4.5,Electrical Equipment | 201-500 Employees | 19 years old | New York +31 more,"Skill Development / Learning, Work Life Balance, Company Culture",Salary & Benefits,925,26
824,Hatsun Agro Product,4,Food Processing | 5k-10k Employees | Public | 54 years old | Chennai +100 more,Skill Development / Learning,,867,25
825,Shriram Life Insurance,3.8,Insurance | 1k-5k Employees | Conglomerate | 19 years old | Hyderabad/Secunderabad +221 more,,Promotions / Appraisal,869,11
826,Urban Company,3.6,Internet | 1k-5k Employees | Indian Unicorn | 9 years old | Gurgaon +52 more,,"Job Security, Promotions / Appraisal, Work Life Balance",870,81
827,Coca-Cola Company,4.3,Beverage | 5k-10k Employees | Forbes Global 2000 | 138 years old | Atlanta +164 more,"Skill Development / Learning, Company Culture, Work Life Balance",,860,--
828,Tikona Infinet,3.7,Telecom | 1k-5k Employees | 16 years old | Mumbai +46 more,,"Promotions / Appraisal, Salary & Benefits, Job Security",856,--
829,NSH,3.7,Engineering & Construction | 501-1k Employees | 46 years old | Al Jubail +44 more,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits",860,--
830,Viraj Profiles,3.8,Iron & Steel | 1k-5k Employees | 24 years old | Mumbai +21 more,,"Promotions / Appraisal, Company Culture, Salary & Benefits",854,--
831,Serco,4.4,Analytics & KPO | 5k-10k Employees | 36 years old | Hook +39 more,"Work Life Balance, Work Satisfaction, Company Culture",,853,--
832,Nielsen,3.7,Analytics & KPO | 1k-5k Employees | 101 years old | New York City +72 more,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",861,--
833,HPCL-Mittal Energy Limited,4.3,Petrochemicals | 1k-5k Employees | 17 years old | Noida +26 more,"Job Security, Salary & Benefits, Company Culture",,859,--
834,Episource,3.8,IT Services & Consulting | 1k-5k Employees | 18 years old | Gardena +13 more,"Job Security, Company Culture",Promotions / Appraisal,862,2
835,Decathlon,4,Retail | 1k-5k Employees | 48 years old | Lille +63 more,"Skill Development / Learning, Company Culture, Job Security","Work Life Balance, Promotions / Appraisal",866,2
836,Podar International School,4.3,Education & Training | 5k-10k Employees | 97 years old | Mumbai +106 more,"Skill Development / Learning, Job Security, Company Culture",,859,--
837,Thyrocare Technologies,3.5,Healthcare | 1k-5k Employees | Public | 28 years old | Mumbai +62 more,,"Promotions / Appraisal, Job Security, Salary & Benefits",859,8
838,Amazon Logistics,4.3,Logistics | 51-200 Employees | Hyderabad / Secunderabad +119 more,"Company Culture, Skill Development / Learning, Salary & Benefits",,866,--
839,RBL FinServe,4.2,Financial Services | 5k-10k Employees | 19 years old | Mumbai +281 more,"Salary & Benefits, Skill Development / Learning, Work Satisfaction",,854,--
840,iQor Global Services,3.5,BPO | 1k-5k Employees | 26 years old | Saint Petersburg +50 more,,"Promotions / Appraisal, Job Security, Skill Development / Learning",849,23
841,Atos Global IT Solutions And Services,4,IT Services & Consulting | 5k-10k Employees | 24 years old | Navi Mumbai +17 more,"Work Life Balance, Job Security, Skill Development / Learning",,851,212
842,OpenText Technologies,3.8,Software Product | 1k-5k Employees | 33 years old | Waterloo +9 more,"Work Life Balance, Company Culture",Promotions / Appraisal,854,58
843,Arvind Lifestyle Brands,4.2,Retail | 201-500 Employees | Bangalore / Bengaluru +85 more,"Skill Development / Learning, Company Culture, Work Life Balance",,852,--
844,Airtel Payments Bank,4.2,FinTech | 501-1k Employees | Public | 8 years old | Delhi/NCR +226 more,"Skill Development / Learning, Company Culture, Work Life Balance",,852,23
845,Strides Pharma,3.9,Pharma | 201-500 Employees | Public | 34 years old | Bangalore/Bengaluru +30 more,Skill Development / Learning,"Job Security, Promotions / Appraisal",850,5
846,Bajaj Housing Finance,3.9,NBFC | 1k-5k Employees | 16 years old | Pune +123 more,,"Work Life Balance, Company Culture, Work Satisfaction",855,16
847,JK Lakshmi Cement,3.9,Building Material | 1k-5k Employees | Public | 42 years old | Delhi/NCR +114 more,,,855,--
848,Kirloskar Oil Engines,4.2,Industrial Machinery | 1k-5k Employees | Public | 78 years old | Pune +86 more,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,847,6
849,Mando Automotive,3.9,Auto Components | 1k-5k Employees | Fortune India 500 | 18 years old | Kanchipuram +18 more,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",846,--
850,Sunknowledge Services,4,BPO | 1k-5k Employees | 18 years old | New York +11 more,"Job Security, Skill Development / Learning, Work Satisfaction",,849,11
851,MDIndia Health Insurance TPA,3.8,Insurance | 5k-10k Employees | 24 years old | Pune +78 more,,"Promotions / Appraisal, Salary & Benefits",851,9
852,iMerit,3.8,Software Product | 1k-5k Employees | Startup | 12 years old | Kolkata +10 more,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",846,4
853,PNC Infratech,4,Engineering & Construction | 5k-10k Employees | Public | 25 years old | Delhi/NCR +75 more,Job Security,Promotions / Appraisal,841,14
854,Sri Chaitanya Educational Institutions,3.8,Education & Training | 50k-1 Lakh Employees | 38 years old | Hyderabad/Secunderabad +85 more,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",837,3
855,FastInfo,4.3,EdTech | 501-1k Employees | Startup | 5 years old | Kolkata +7 more,"Skill Development / Learning, Company Culture, Work Life Balance",,840,1
856,Shubham Housing Development Finance,4,NBFC | 1k-5k Employees | 14 years old | Gurgaon +113 more,"Skill Development / Learning, Job Security, Company Culture",,842,2
857,Altimetrik,3.8,IT Services & Consulting | 1k-5k Employees | 12 years old | Southfield +10 more,"Work Life Balance, Salary & Benefits, Company Culture",,848,32
858,V5 Global Services,3.9,Recruitment | 10k-50k Employees | 19 years old | Delhi/NCR +157 more,,Promotions / Appraisal,844,42
859,Kendriya Vidyalaya Sangathan,4.4,Education & Training | 10k-50k Employees | Public | 61 years old | Delhi/NCR +208 more,"Skill Development / Learning, Company Culture, Work Life Balance","Job Security, Promotions / Appraisal",833,--
860,Parexel International,4,Healthcare | 1k-5k Employees | 42 years old | Massachusetts +12 more,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,841,3
861,Ion Exchange India,3.9,Waste Management | 1k-5k Employees | Public | 60 years old | Mumbai +87 more,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",837,18
862,Onward Technologies Inc,3.2,Software Product | 1k-5k Employees | Public | 33 years old | Mumbai +61 more,,"Job Security, Promotions / Appraisal, Skill Development / Learning",836,55
863,BGR Energy Systems,3.9,Engineering & Construction | 1k-5k Employees | Public | 39 years old | Chennai +49 more,,"Promotions / Appraisal, Salary & Benefits",833,--
864,Jubilant Pharmova,4,Pharma | 1k-5k Employees | Public | 46 years old | Noida +53 more,Salary & Benefits,,826,74
865,Aarvee Associates,4,Engineering & Construction | 1k-5k Employees | 35 years old | Hyderabad/Secunderabad +127 more,,Promotions / Appraisal,833,7
866,Barbeque Nation,4,Hospitality | 5k-10k Employees | 18 years old | Bangalore/Bengaluru +70 more,"Company Culture, Job Security, Skill Development / Learning",,827,14
867,NTT DATA Business Solutions,3.8,IT Services & Consulting | 1k-5k Employees | Bangalore / Bengaluru +24 more,,Promotions / Appraisal,834,--
868,DCM Shriram,4.2,Chemicals | 5k-10k Employees | Public | 34 years old | Delhi/NCR +75 more,"Job Security, Company Culture, Work Life Balance",,820,5
869,Volkswagen,4.2,Automobile | 1k-5k Employees | Forbes Global 2000 | 23 years old | Mumbai +95 more,"Work Life Balance, Company Culture, Skill Development / Learning",,823,1
870,Novo Nordisk,4.1,Pharma | 1k-5k Employees | Forbes Global 2000 | 101 years old | New York City +65 more,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,821,121
871,Muthoot Microfin,4.5,NBFC | 10k-50k Employees | 9 years old | Ernakulam +244 more,"Skill Development / Learning, Job Security, Company Culture",,820,7
872,Rockman Industries,3.9,Auto Components | 1k-5k Employees | 64 years old | Delhi/NCR +30 more,Skill Development / Learning,,817,9
873,ReNew,4.3,Power | 1k-5k Employees | 13 years old | Gurugram +79 more,"Job Security, Company Culture, Work Life Balance",,831,79
874,Intel,4.3,Semiconductors | 10k-50k Employees | Public | 56 years old | Santa Clara +32 more,"Work Life Balance, Company Culture, Work Satisfaction",,823,529
875,Jacobs Engineering Group,4.1,Engineering & Construction | 1k-5k Employees | Forbes Global 2000 | 77 years old | Dallas +35 more,"Work Life Balance, Company Culture, Job Security",,821,34
876,The Ramco Cements,4.3,Building Material | 1k-5k Employees | Public | 63 years old | Chennai +90 more,"Job Security, Company Culture, Work Life Balance",,821,--
877,Edelweiss Tokio Life Insurance,3.9,Insurance | 1k-5k Employees | 13 years old | Mumbai +115 more,,,817,3
878,XcelServ Solutions,4.6,IT Services & Consulting | 501-1k Employees | 13 years old | Las Vegas +35 more,"Work Life Balance, Job Security, Salary & Benefits",,815,--
879,Softenger,4.3,IT Services & Consulting | 501-1k Employees | 25 years old | Pune +30 more,"Company Culture, Work Life Balance, Work Satisfaction",,818,7
880,Chetu,3.3,Software Product | 1k-5k Employees | 24 years old | Sunrise +7 more,,"Job Security, Work Life Balance, Salary & Benefits",818,14
881,Evision Technoserve,4.7,Recruitment | 51-200 Employees | 12 years old | Delhi/NCR +63 more,"Company Culture, Work Life Balance, Work Satisfaction",,813,--
882,Nippon Paint India,4.1,Chemicals | 1k-5k Employees | Forbes Global 2000 | 143 years old | Osaka +120 more,"Skill Development / Learning, Work Life Balance",,825,5
883,OM Logistics,4.1,Logistics | 1k-5k Employees | 25 years old | Delhi/NCR +101 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,817,12
884,Medplus(optival Health Solutions),3.7,501-1k Employees | Fortune India 500 | 18 years old | Hyderabad +85 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",816,13
885,Lemon Tree Hotels,4.2,Hospitality | 5k-10k Employees | Public | 22 years old | Delhi/NCR +64 more,"Job Security, Skill Development / Learning, Company Culture",,811,--
886,Aerial Telecom Solutions,4.5,Telecom | 5k-10k Employees | 14 years old | Mohali +86 more,"Work Life Balance, Work Satisfaction, Company Culture",,810,61
887,Power Grid Corporation of India,4.4,Power | 5k-10k Employees | Fortune India 500 | 35 years old | Gurgaon/Gurugram +184 more,"Salary & Benefits, Company Culture, Work Life Balance",,811,--
888,Pristyn Care,3.7,Healthcare | 1k-5k Employees | Indian Unicorn | 6 years old | Delhi +27 more,Salary & Benefits,Work Life Balance,811,45
889,1point1 Solutions,3.4,BPO | 5k-10k Employees | Public | 16 years old | Navi Mumbai +14 more,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",808,60
890,Vertex Customer Solutions,3.6,IT Services & Consulting | 5k-10k Employees | 14 years old | Panchkula +32 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",799,1
891,Vistaar Finance,4.2,NBFC | 1k-5k Employees | 14 years old | Bengaluru/Bangalore +166 more,"Company Culture, Salary & Benefits, Skill Development / Learning",,802,3
892,Provana,3.7,IT Services & Consulting | 1k-5k Employees | 13 years old | Lisle +5 more,,Promotions / Appraisal,807,13
893,Hyundai Mobis,3.9,Auto Components | 1k-5k Employees | Forbes Global 2000 | 7 years old | Kanchipuram +42 more,"Job Security, Salary & Benefits",Promotions / Appraisal,805,8
894,V2 Retail,3.6,Retail | 1k-5k Employees | Public | 23 years old | Delhi/NCR +88 more,,"Job Security, Company Culture, Work Satisfaction",796,5
895,Ceasefire Industries,3.3,Industrial Machinery | 1k-5k Employees | 22 years old | Noida +69 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",793,5
896,Capacit'e Infraprojects,3.6,Engineering & Construction | 1k-5k Employees | Public | 12 years old | Mumbai +31 more,,"Promotions / Appraisal, Salary & Benefits, Job Security",798,3
897,Unicharm,4.2,Beauty & Personal Care | 1k-5k Employees | Forbes Global 2000 | 63 years old | Mita +142 more,"Job Security, Skill Development / Learning, Company Culture",,804,1
898,TechnipFMC,4,Industrial Machinery | 1k-5k Employees | 7 years old | Paris +40 more,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,799,--
899,Brillio,3.5,IT Services & Consulting | 1k-5k Employees | 10 years old | Edison +11 more,,"Promotions / Appraisal, Job Security, Work Satisfaction",800,79
900,ThyssenKrupp Industries India,4.2,Industrial Machinery | 1k-5k Employees | Conglomerate | 77 years old | Pune +44 more,"Job Security, Work Life Balance, Company Culture",,793,--
901,Nykaa,3.5,Internet | 1k-5k Employees | Public | 12 years old | Mumbai +80 more,,"Promotions / Appraisal, Company Culture, Work Satisfaction",794,25
902,Kotak Mahindra Prime,4,NBFC | 5k-10k Employees | Public | 28 years old | Mumbai +122 more,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,791,--
903,GEP Worldwide,3.8,IT Services & Consulting | 1k-5k Employees | 25 years old | Clark +10 more,"Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",795,26
904,Hindustan Zinc,3.9,Metals & Mining | 1k-5k Employees | Public | 58 years old | Udaipur +28 more,"Salary & Benefits, Skill Development / Learning","Work Life Balance, Company Culture, Job Security",793,--
905,Happiest Minds Technologies,3.9,IT Services & Consulting | 1k-5k Employees | Public | 13 years old | Bangalore +13 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,789,19
906,Qualcomm,3.9,Semiconductors | 10k-50k Employees | Forbes Global 2000 | 28 years old | San Diego +15 more,"Salary & Benefits, Company Culture",,789,617
907,ZF Steering Gear,3.8,Auto Components | 501-1k Employees | Public | 109 years old | Pune +22 more,,Promotions / Appraisal,791,11
908,More Supermarket,3.9,Retail | 10k-50k Employees | 17 years old | Mumbai +125 more,,"Promotions / Appraisal, Job Security",789,--
909,TEKsystems,3.5,IT Services & Consulting | 1k-5k Employees | 41 years old | Hanover +13 more,,"Promotions / Appraisal, Job Security, Skill Development / Learning",787,28
910,CarDekho,3.7,Internet | 1k-5k Employees | Indian Unicorn | 16 years old | Jaipur +68 more,,"Job Security, Promotions / Appraisal",786,123
911,Dana Anand,4.2,Auto Components | 1k-5k Employees | 31 years old | Delhi/NCR +37 more,"Skill Development / Learning, Company Culture, Job Security",,784,--
912,Hathway,3.7,Broadcasting | 501-1k Employees | 65 years old | Mumbai +48 more,,"Promotions / Appraisal, Salary & Benefits, Job Security",782,9
913,CenturyPly,4,Furniture & Furnishing | 1k-5k Employees | Public | 38 years old | Kolkata +101 more,Salary & Benefits,Promotions / Appraisal,784,5
914,Colliers International,4,Real Estate | 1k-5k Employees | 29 years old | Ontario +33 more,Skill Development / Learning,,783,77
915,Intex Technologies,3.7,Consumer Electronics & Appliances | 1k-5k Employees | Public | 28 years old | Delhi/NCR +71 more,,"Job Security, Promotions / Appraisal, Company Culture",778,--
916,Acuity Knowledge Partners,3.5,Financial Services | 1k-5k Employees | 22 years old | London +12 more,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",790,113
917,Karur Vysya Bank,3.8,Banking | 5k-10k Employees | Public | 108 years old | Karur +136 more,,"Promotions / Appraisal, Company Culture, Work Satisfaction",783,32
918,Stanza Living,3.1,Internet | 501-1k Employees | Startup | 7 years old | Delhi +30 more,,"Job Security, Promotions / Appraisal, Company Culture",781,64
919,Tube Investments of India,4,Engineering & Construction | 1k-5k Employees | Public | 75 years old | Chennai +56 more,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal,779,30
920,TK Elevator,4.1,Industrial Machinery | 1k-5k Employees | 29 years old | Essen +65 more,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,780,1
921,Reliance AJIO,3.8,Internet | 1k-5k Employees | 8 years old | Bengaluru +189 more,,Promotions / Appraisal,777,--
922,United Alliance Technology,4.9,IT Services & Consulting | Pune +9 more,"Company Culture, Work Life Balance, Work Satisfaction",,777,--
923,Aditya Birla Finance,3.9,NBFC | 1k-5k Employees | 12 years old | Mumbai +148 more,"Salary & Benefits, Skill Development / Learning",,785,9
924,TradeIndia (Infocom Network Private Limited),3.4,Internet | 1k-5k Employees | 28 years old | Noida +39 more,,"Promotions / Appraisal, Job Security, Work Satisfaction",784,58
925,Pizza Hut,4,Hospitality | 1k-5k Employees | 66 years old | Plano +104 more,Skill Development / Learning,,778,--
926,Bosch Chassis Systems,4.2,Auto Components | 1k-5k Employees | 73 years old | Gerlingen +21 more,"Company Culture, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,774,--
927,Apotex Research,4.2,Pharma | 201-500 Employees | 21 years old | Brantford +13 more,"Work Life Balance, Company Culture, Job Security",,775,--
928,Feedback Infrastructure Services,3.5,Engineering & Construction | 5k-10k Employees | 34 years old | Gurgaon/Gurugram +121 more,,"Promotions / Appraisal, Salary & Benefits, Job Security",770,4
929,Imperial Auto Industries,3.8,Auto Components | 1k-5k Employees | Public | 55 years old | Faridabad +34 more,Job Security,"Promotions / Appraisal, Salary & Benefits",776,12
930,Rashmi Metaliks,3.6,Iron & Steel | 1k-5k Employees | 20 years old | Kolkata +26 more,,"Company Culture, Job Security, Work Satisfaction",780,12
931,Secure Meters,4.1,Electronics Manufacturing | 1k-5k Employees | Public | 37 years old | Udaipur +68 more,"Job Security, Company Culture, Work Life Balance",,775,48
932,Spandana Sphoorty Financial,3.8,NBFC | 10k-50k Employees | Public | 26 years old | Hyderabad/Secunderabad +227 more,,,770,16
933,Kirloskar Brothers,4,Industrial Machinery | 1k-5k Employees | Public | 136 years old | Pune +57 more,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,775,1
934,Syngenta,4.3,Agriculture | 1k-5k Employees | 24 years old | Basel +136 more,"Company Culture, Work Life Balance, Job Security",,769,23
935,Colgate Palmolive,4.2,FMCG | 1k-5k Employees | Public | 87 years old | New York +99 more,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,779,1
936,Diageo,4.1,Beverage | 1k-5k Employees | Public | 27 years old | London +84 more,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal,774,27
937,Sundaram Finance,4.2,NBFC | 1k-5k Employees | Public | 70 years old | Chennai +208 more,"Job Security, Company Culture, Work Life Balance",,773,18
938,Genius Consultants,3.8,Recruitment | 201-500 Employees | 31 years old | Kolkata +75 more,,"Promotions / Appraisal, Salary & Benefits",776,10
939,Fidelity Investments,4.3,Financial Services | 5k-10k Employees | 81 years old | Boston +15 more,"Job Security, Company Culture, Work Life Balance",,774,7
940,H.G. Infra Engineering,4.4,Engineering & Construction | 1k-5k Employees | Public | 21 years old | Jaipur +77 more,"Skill Development / Learning, Salary & Benefits, Company Culture",,774,--
941,Ahluwalia Contracts India,4.1,Engineering & Construction | 1k-5k Employees | Public | 59 years old | Delhi/NCR +48 more,Job Security,Promotions / Appraisal,771,8
942,Kinara Capital,4.5,FinTech | 1k-5k Employees | 13 years old | Bangalore +108 more,"Company Culture, Skill Development / Learning, Work Life Balance",,767,47
943,Pricol,4,Auto Components | 1k-5k Employees | Public | 49 years old | Coimbatore +25 more,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal,767,1
944,Dassault Systemes,4.1,Software Product | 5k-10k Employees | Forbes Global 2000 | 43 years old | Velizy-villacoublay +8 more,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",767,1
